Time	ECG	Heart Rate
199.14	0.174427	81.0811
199.145	0.125263	81.0811
199.15	0.081938	81.0811
199.155	0.0442357	81.0811
199.16	0.0138986	81.0811
199.165	-0.00790692	81.0811
199.17	-0.0238383	81.0811
199.175	-0.0352568	81.0811
199.18	-0.0411953	81.0811
199.185	-0.0431952	81.0811
199.19	-0.0431721	81.0811
199.195	-0.0403448	81.0811
199.2	-0.0353624	81.0811
199.205	-0.0301663	81.0811
199.21	-0.0236517	81.0811
199.215	-0.016374	81.0811
199.22	-0.0137043	81.0811
199.225	-0.0170378	81.0811
199.23	-0.0230413	81.0811
199.235	-0.0302609	81.0811
199.24	-0.0378236	81.0811
199.245	-0.0434486	81.0811
199.25	-0.0476118	81.0811
199.255	-0.0525602	81.0811
199.26	-0.0569611	81.0811
199.265	-0.0588919	81.0811
199.27	-0.0598637	81.0811
199.275	-0.06025	81.0811
199.28	-0.0584898	81.0811
199.285	-0.0560361	81.0811
199.29	-0.0548044	81.0811
199.295	-0.0537189	81.0811
199.3	-0.0530658	81.0811
199.305	-0.0549211	81.0811
199.31	-0.0590918	81.0811
199.315	-0.0648247	81.0811
199.32	-0.0727659	81.0811
199.325	-0.0801601	81.0811
199.33	-0.0826453	81.0811
199.335	-0.0822684	81.0811
199.34	-0.0830844	81.0811
199.345	-0.0852117	81.0811
199.35	-0.0889835	81.0811
199.355	-0.0952754	81.0811
199.36	-0.101415	81.0811
199.365	-0.104847	81.0811
199.37	-0.106957	81.0811
199.375	-0.107668	81.0811
199.38	-0.105383	81.0811
199.385	-0.10206	81.0811
199.39	-0.0996914	81.0811
199.395	-0.0969652	81.0811
199.4	-0.0947356	81.0811
199.405	-0.0957885	81.0811
199.41	-0.0984826	81.0811
199.415	-0.100049	81.0811
199.42	-0.100032	81.0811
199.425	-0.095834	81.0811
199.43	-0.0834629	81.0811
199.435	-0.064843	81.0811
199.44	-0.0448562	81.0811
199.445	-0.0246739	81.0811
199.45	-0.00456236	81.0811
199.455	0.0140463	81.0811
199.46	0.0309636	81.0811
199.465	0.0446096	81.0811
199.47	0.0500213	81.0811
199.475	0.0452117	81.0811
199.48	0.0324973	81.0811
199.485	0.0130237	81.0811
199.49	-0.011629	81.0811
199.495	-0.0367916	81.0811
199.5	-0.0603829	81.0811
199.505	-0.0832837	81.0811
199.51	-0.102712	81.0811
199.515	-0.115996	81.0811
199.52	-0.125611	81.0811
199.525	-0.134067	81.0811
199.53	-0.141426	81.0811
199.535	-0.148481	81.0811
199.54	-0.154172	81.0811
199.545	-0.155061	81.0811
199.55	-0.153323	81.0811
199.555	-0.157034	81.0811
199.56	-0.167786	81.0811
199.565	-0.175359	81.0811
199.57	-0.158412	81.0811
199.575	-0.0859791	81.0811
199.58	0.0664901	81.0811
199.585	0.29852	81.0811
199.59	0.568246	81.0811
199.595	0.799865	81.0811
199.6	0.926531	77.4194
199.605	0.924881	77.4194
199.61	0.817224	77.4194
199.615	0.648885	77.4194
199.62	0.463722	77.4194
199.625	0.294798	77.4194
199.63	0.161085	77.4194
199.635	0.0650364	77.4194
199.64	-0.000824595	77.4194
199.645	-0.0441022	77.4194
199.65	-0.0716052	77.4194
199.655	-0.0896154	77.4194
199.66	-0.101242	77.4194
199.665	-0.108344	77.4194
199.67	-0.11394	77.4194
199.675	-0.118754	77.4194
199.68	-0.120293	77.4194
199.685	-0.118831	77.4194
199.69	-0.116638	77.4194
199.695	-0.113468	77.4194
199.7	-0.109787	77.4194
199.705	-0.107401	77.4194
199.71	-0.104549	77.4194
199.715	-0.0986148	77.4194
199.72	-0.0913335	77.4194
199.725	-0.0840907	77.4194
199.73	-0.0756641	77.4194
199.735	-0.0674355	77.4194
199.74	-0.0610592	77.4194
199.745	-0.053739	77.4194
199.75	-0.0439588	77.4194
199.755	-0.0345003	77.4194
199.76	-0.0258643	77.4194
199.765	-0.0164281	77.4194
199.77	-0.00699431	77.4194
199.775	0.00216454	77.4194
199.78	0.0133444	77.4194
199.785	0.0270113	77.4194
199.79	0.0427202	77.4194
199.795	0.062459	77.4194
199.8	0.086681	77.4194
199.805	0.113099	77.4194
199.81	0.141691	77.4194
199.815	0.172674	77.4194
199.82	0.202746	77.4194
199.825	0.230288	77.4194
199.83	0.256922	77.4194
199.835	0.281782	77.4194
199.84	0.302301	77.4194
199.845	0.317991	77.4194
199.85	0.32704	77.4194
199.855	0.325952	77.4194
199.86	0.315087	77.4194
199.865	0.296409	77.4194
199.87	0.269651	77.4194
199.875	0.236702	77.4194
199.88	0.201892	77.4194
199.885	0.166729	77.4194
199.89	0.133047	77.4194
199.895	0.106452	77.4194
199.9	0.0862951	77.4194
199.905	0.0637276	77.4194
199.91	0.0360196	77.4194
199.915	0.0075158	77.4194
199.92	-0.0182667	77.4194
199.925	-0.0380621	77.4194
199.93	-0.0488731	77.4194
199.935	-0.0522735	77.4194
199.94	-0.0513743	77.4194
199.945	-0.0462914	77.4194
199.95	-0.038294	77.4194
199.955	-0.0308097	77.4194
199.96	-0.0240955	77.4194
199.965	-0.0177028	77.4194
199.97	-0.0138782	77.4194
199.975	-0.0121153	77.4194
199.98	-0.00885185	77.4194
199.985	-0.00439139	77.4194
199.99	-0.00182083	77.4194
199.995	-0.00202753	77.4194
200	-0.00514473	77.4194
200.005	-0.0116198	77.4194
200.01	-0.0197871	77.4194
200.015	-0.0282954	77.4194
200.02	-0.0385922	77.4194
200.025	-0.0496583	77.4194
200.03	-0.0576148	77.4194
200.035	-0.0623333	77.4194
200.04	-0.0653778	77.4194
200.045	-0.0656938	77.4194
200.05	-0.0638113	77.4194
200.055	-0.0623238	77.4194
200.06	-0.0606362	77.4194
200.065	-0.0572413	77.4194
200.07	-0.0544468	77.4194
200.075	-0.0537462	77.4194
200.08	-0.0544498	77.4194
200.085	-0.0580889	77.4194
200.09	-0.06513	77.4194
200.095	-0.0714628	77.4194
200.1	-0.0754034	77.4194
200.105	-0.080069	77.4194
200.11	-0.0861153	77.4194
200.115	-0.0921424	77.4194
200.12	-0.0984906	77.4194
200.125	-0.103853	77.4194
200.13	-0.106118	77.4194
200.135	-0.107523	77.4194
200.14	-0.110053	77.4194
200.145	-0.111576	77.4194
200.15	-0.111683	77.4194
200.155	-0.112427	77.4194
200.16	-0.112319	77.4194
200.165	-0.10959	77.4194
200.17	-0.107369	77.4194
200.175	-0.107615	77.4194
200.18	-0.108769	77.4194
200.185	-0.11071	77.4194
200.19	-0.112595	77.4194
200.195	-0.110827	77.4194
200.2	-0.103918	77.4194
200.205	-0.0930997	77.4194
200.21	-0.0793817	77.4194
200.215	-0.0642297	77.4194
200.22	-0.0487285	77.4194
200.225	-0.0309515	77.4194
200.23	-0.0101723	77.4194
200.235	0.00791811	77.4194
200.24	0.017015	77.4194
200.245	0.0160362	77.4194
200.25	0.00466527	77.4194
200.255	-0.0166182	77.4194
200.26	-0.0426797	77.4194
200.265	-0.0683829	77.4194
200.27	-0.0928673	77.4194
200.275	-0.11502	77.4194
200.28	-0.133228	77.4194
200.285	-0.149195	77.4194
200.29	-0.163728	77.4194
200.295	-0.173827	77.4194
200.3	-0.179319	77.4194
200.305	-0.18398	77.4194
200.31	-0.187672	77.4194
200.315	-0.188377	77.4194
200.32	-0.188795	77.4194
200.325	-0.193655	77.4194
200.33	-0.203497	77.4194
200.335	-0.211737	77.4194
200.34	-0.199051	77.4194
200.345	-0.134076	77.4194
200.35	0.00783987	77.4194
200.355	0.229849	77.4194
200.36	0.498267	77.4194
200.365	0.739809	77.4194
200.37	0.882671	77.4194
200.375	0.89791	78.4314
200.38	0.801889	78.4314
200.385	0.635264	78.4314
200.39	0.443812	78.4314
200.395	0.26594	78.4314
200.4	0.122152	78.4314
200.405	0.0152595	78.4314
200.41	-0.0588611	78.4314
200.415	-0.106577	78.4314
200.42	-0.136421	78.4314
200.425	-0.153987	78.4314
200.43	-0.161449	78.4314
200.435	-0.163233	78.4314
200.44	-0.164135	78.4314
200.445	-0.164897	78.4314
200.45	-0.165413	78.4314
200.455	-0.16685	78.4314
200.46	-0.168112	78.4314
200.465	-0.167715	78.4314
200.47	-0.166981	78.4314
200.475	-0.165346	78.4314
200.48	-0.159834	78.4314
200.485	-0.151486	78.4314
200.49	-0.14413	78.4314
200.495	-0.138423	78.4314
200.5	-0.133872	78.4314
200.505	-0.131265	78.4314
200.51	-0.128437	78.4314
200.515	-0.122768	78.4314
200.52	-0.11535	78.4314
200.525	-0.106789	78.4314
200.53	-0.0961013	78.4314
200.535	-0.0850304	78.4314
200.54	-0.0746371	78.4314
200.545	-0.0619236	78.4314
200.55	-0.045451	78.4314
200.555	-0.0264224	78.4314
200.56	-0.0037487	78.4314
200.565	0.0232384	78.4314
200.57	0.0515616	78.4314
200.575	0.0791641	78.4314
200.58	0.106661	78.4314
200.585	0.133782	78.4314
200.59	0.160477	78.4314
200.595	0.188055	78.4314
200.6	0.214644	78.4314
200.605	0.23647	78.4314
200.61	0.253908	78.4314
200.615	0.267836	78.4314
200.62	0.274615	78.4314
200.625	0.271248	78.4314
200.63	0.258125	78.4314
200.635	0.234739	78.4314
200.64	0.201648	78.4314
200.645	0.164202	78.4314
200.65	0.126855	78.4314
200.655	0.0902296	78.4314
200.66	0.0559618	78.4314
200.665	0.0255798	78.4314
200.67	-0.00253601	78.4314
200.675	-0.0286082	78.4314
200.68	-0.0505801	78.4314
200.685	-0.0688832	78.4314
200.69	-0.0839661	78.4314
200.695	-0.0936495	78.4314
200.7	-0.0985952	78.4314
200.705	-0.102326	78.4314
200.71	-0.104464	78.4314
200.715	-0.10326	78.4314
200.72	-0.10044	78.4314
200.725	-0.096776	78.4314
200.73	-0.0912425	78.4314
200.735	-0.0860188	78.4314
200.74	-0.083575	78.4314
200.745	-0.082529	78.4314
200.75	-0.0823638	78.4314
200.755	-0.0844925	78.4314
200.76	-0.0869848	78.4314
200.765	-0.0891868	78.4314
200.77	-0.0943403	78.4314
200.775	-0.102621	78.4314
200.78	-0.110353	78.4314
